conversationNumber,originalInputResponseVote,translatedInputResponseVote,expertOriginalInputResponseVote,expertTranslatedInputResponseVote
1,3.45,4.1,3.65,4.2
2,2.4,2.3,2.7,2.6
3,2.625,2.75,3.5,3.5
4,2.4166666666666665,2.75,3.0,3.0833333333333335
5,2.0,3.1538461538461537,2.6153846153846154,3.5384615384615383
6,3.3636363636363638,3.727272727272727,3.4545454545454546,3.8181818181818183
7,3.3333333333333335,3.6666666666666665,3.1666666666666665,3.6666666666666665
8,2.8181818181818183,3.5454545454545454,3.0,3.909090909090909
9,3.272727272727273,3.727272727272727,3.4545454545454546,3.8181818181818183
10,1.5,3.4166666666666665,2.1666666666666665,3.7916666666666665
